Date,Platform,Text,Person,Truthfulness Category
"December 9, 2022",reel,The Federal Reserve “has suspended the availability of new currency.”,Facebook posts,false
"December 3, 2022",social post,"“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”",Donald Trump,pants-fire
"November 28, 2022",post,The 2021 infrastructure bill requires all new vehicles to have kill switches that will stop vehicle operation and alert law enforcement when drivers are impaired.,Instagram posts,barely-true
"November 27, 2022",cnn,“60% of counties in this country are refusing to implement the nation's gun laws.”,Chris Murphy,half-true
"November 22, 2022",public statement,"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",Robin Vos,barely-true
"November 17, 2022",post,“Joe Biden is being investigated for human trafficking and is guilty.”,Instagram posts,false
"November 19, 2022",speech,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Raphael Warnock,mostly-true
"November 20, 2022",tweet,The Club Q shooting was a “false flag.”,Tweets,pants-fire
"November 19, 2022",screenshot,Trump tweeted about his return to Twitter on Nov. 19.,Instagram posts,pants-fire
"November 13, 2022",post,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,pants-fire
"November 9, 2022",arizona,"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",Mark Finchem,false
"November 10, 2022",social post,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",Donald Trump,pants-fire
"November 8, 2022",post,“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,Instagram posts,false
"November 3, 2022",video,A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,Instagram posts,false
"November 1, 2022",instagram,"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",Instagram posts,false
"November 8, 2022",tweet,“Maricopa County intentionally reduced the polling places.”,Charlie Kirk,pants-fire
"November 8, 2022",fox,"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",Tucker Carlson,false
"November 8, 2022",tweet,"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",Tweets,false
"November 6, 2022",instagram,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,false
"October 27, 2022",tv segment,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,false
"October 31, 2022",interview,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,false
"November 1, 2022",instagram,“Two thirds of eligible voters don’t vote.”,Instagram posts,false
"November 1, 2022",town hall event,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,false
"October 19, 2022",ad,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,mostly-true
"October 30, 2022",interview,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,mostly-true
"July 14, 2022",blog,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,barely-true
"October 27, 2022",post,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,false
"October 27, 2022",tweet,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,barely-true
"October 26, 2022",newspaper interview,Blake Masters “wants to privatize” Social Security.,Mark Kelly,barely-true
"October 25, 2022",instagram,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,false
"October 18, 2022",post,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,pants-fire
"October 23, 2022",instagram,There are no photos of “Biden in the Oval Office” from after early 2021.,Viral image,pants-fire
"October 5, 2022",ad,Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.,Citizens for Sanity,false
"October 7, 2022",ad,“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,Citizens for Sanity,barely-true
"October 15, 2022",tweet,Immigrants illegally in the country are treated “better than military veterans.”,Blake Masters,false
"October 14, 2022",instagram,"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",Facebook posts,false
"October 9, 2022",nation,Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”,Katie Hobbs,mostly-true
"October 9, 2022",nation,“Katie Hobbs voted for allowing a baby who survives an abortion — that the hospital would refuse medical care and allow the baby to die on a cold metal tray.”,Kari Lake,barely-true
"October 9, 2022",facebook,"“Donald Trump is back on Twitter,” thanks to Elon Musk.",Facebook posts,false
"October 4, 2022",public statement,"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",Ron Johnson,pants-fire
"October 6, 2022",video,The Jan. 6 hearing “was abruptly canceled after it was revealed that news networks would not be showing it.”,Facebook posts,false
"August 24, 2022",No Platform,On supporting student debt relief.,Tim Ryan,half-flip
"September 27, 2022",ad,“I voted with Trump on trade.”,Tim Ryan,mostly-true
"September 23, 2022",ad,Tim Ryan said “I do love” Nancy Pelosi and votes with Joe Biden and Pelosi 100%.,J.D. Vance,half-true
"September 30, 2022",post,"""Florida schools (were) still open during the start of the hurricane.""",Instagram posts,false
"September 29, 2022",post,Hurricane Ian was orchestrated as part of a pandemic-related conspiracy to devastate Floridians.,Instagram posts,pants-fire
"September 28, 2022",tweet,Sen. Marco Rubio and U.S. Rep. Ron DeSantis “voted against aid for Hurricane Sandy.”,Yuh-Line Niou,mostly-true
"September 22, 2022",debate,Mark Finchem “wants to strip Arizona’s citizens of their capacity to vote by mail.”,Adrian Fontes,mostly-true
"September 27, 2022",post,“All weather is artificially controlled.”,Instagram posts,pants-fire
"September 19, 2022",post,Martha's Vineyard declared itself as a sanctuary city until the buses arrived.,Peggy Hubbard,half-true
"September 22, 2022",state debate,"Ballot harvesting “altered the outcome” of a city council election in Yuma County, Arizona.",Mark Finchem,false
"September 16, 2022",post,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,Facebook posts,barely-true
"July 28, 2022",speech,"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",Mark Finchem,pants-fire
"September 8, 2022",ad,"“Mark Kelly voted against the Keystone pipeline, which caused higher gas prices.”",Saving Arizona PAC,barely-true
"September 14, 2022",post,Barack and Michelle Obama are not the real parents of their children.,Facebook posts,pants-fire
"September 10, 2022",video,“Trump lawyers all quit on him at the same time.”,Facebook posts,false
"September 12, 2022",video,A CNN report on 9/11 proved that a plane never hit the Pentagon.,Instagram posts,false
"September 12, 2022",image,“No plane debris was found at the Pentagon.”,Instagram posts,pants-fire
"August 28, 2022",cnn,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",Elizabeth Warren,true
"September 6, 2022",tweet,“I had zero emails that were classified.”,Hillary Clinton,half-true
"September 5, 2022",facebook,"Joe Biden called Pope Francis the “famous African American baseball player in America.""",Facebook posts,false
"September 11, 2022",facebook,"Says of 9/11, “Two planes can’t cause three buildings to collapse in free-fall time.”",Facebook posts,false
"September 5, 2022",email,Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”,Republican Governors Association,false
"August 29, 2022",video,Executive Order 14067 will allow the federal government to “turn on and turn off your money.”,TikTok posts,false
"September 3, 2022",video,President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.,Facebook posts,pants-fire
"September 1, 2022",article,Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,The Gateway Pundit,false
"August 24, 2022",facebook,"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Facebook posts,false
"August 25, 2022",instagram,"Instagram’s ""precise location"" feature can be used by criminals to target victims.",Instagram posts,false
"August 24, 2022",instagram,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Instagram posts,true
"September 25, 2020",interview,"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",Pitbull,false
"August 22, 2022",tweet,Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home.,Tweets,false
"August 7, 2022",news release,"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",Ron Johnson,mostly-true
"August 16, 2022",white house,The American Rescue Plan “helped create nearly 10 million new jobs.”,Joe Biden,barely-true
"August 17, 2022",instagram,"""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",Instagram posts,false
"August 12, 2022",facebook,“Free health allowance is available at no cost.”,Facebook posts,false
"August 15, 2022",facebook,Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.,Facebook posts,pants-fire
"August 15, 2022",facebook,"“El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan más de $10,000 de deuda”.",Facebook posts,false
"August 13, 2022",twitter,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters,true
"August 16, 2022",press release,"The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",Rick Scott,barely-true
"August 10, 2022",fox,"“The Congressional Budget Office says 90% of the revenue generated from the new IRS agents will come from people making less than $200,000 … and the revenue generated will be $300-plus billion.”",Tim Scott,false
"August 3, 2022",facebook,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.",Facebook posts,pants-fire
"July 29, 2022",facebook,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,Facebook posts,false
"August 12, 2022",statement,"""President Barack Hussein Obama kept 33 million pages of documents, much of them classified. How many of them pertained to nuclear? Word is, lots!""",Donald Trump,pants-fire
"July 29, 2022",email,"""Governor Tony Evers gave counties the green light to defund Wisconsin's police departments.""",Republican Governors Association,barely-true
"August 9, 2022",tweet,"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”",Kevin McCarthy,barely-true
"August 10, 2022",statement,On taking the Fifth Amendment,Donald Trump,half-flip
"August 2, 2022",facebook,"Former President Donald Trump asked “for troops around the Capitol to make sure everyone is safe,” on Jan. 6, 2021, but was “turned down by the Democrats.”",Facebook posts,false
"July 17, 2022",Debate,“We have more oil and gas permits than ever before right now.”,Mandela Barnes,mostly-true
"July 25, 2022",tweet,“Biden wants to give illegals ID cards so they can start collecting American benefits.”,Tomi Lahren,false
"August 3, 2022",facebook,The CDC has classified monkeypox as an airborne form of herpes that can lead to paralysis.,Facebook posts,false
"August 28, 2022",facebook,"Synthetic cyanide-based B12 is a ""toxic ingredient in your kids vitamins.""",Facebook posts,false
"July 22, 2022",arizona,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”,Blake Masters,barely-true
"July 22, 2022",headline,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",The Gateway Pundit,pants-fire
"July 20, 2022",facebook,“Supreme Court FINALLY signs VERDICT to IMPEACH Speaker Pelosi as Hunter’s Laptop IMPLICATES her.”,Facebook posts,pants-fire
"July 9, 2022",rally,Ranked choice voting in Alaska is a “total rigged deal.”,Donald Trump,pants-fire
"July 14, 2022",instagram,"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""",Instagram posts,pants-fire
"July 14, 2022",congressional hearing,"""If a 10-year-old became pregnant as a result of rape and it was threatening her life, then that’s not an abortion.""",Catherine Glenn Foster,false
"July 14, 2022",instagram,"Video shows Biden giving the ""same exact speech"" months apart.",Instagram posts,false
"July 5, 2022",news show,"In Kenya, “pregnant women can’t leave the house, so they absolutely have no constructive right to vote.”",Emily Compagno,pants-fire
"July 11, 2022",podcast,U.S. Rep. Mayra Flores is “the first Mexican-born member of Congress.”,Lauren Boebert,false
"July 9, 2022",twitter,There are no artifacts to prove that slave ships existed.,Tweets,pants-fire
"June 30, 2022",facebook,Fast food chain Wendy’s was “exposed for using horse meat.”,Facebook posts,pants-fire
"June 30, 2022",press release,The Civics Secures Democracy Act “would allow the Biden administration to buy off states with $6 billion” if they adopt critical race theory.,Ron DeSantis,false
"July 4, 2022",facebook,Images show Highland Park shooter had antifa connection,Facebook posts,false
"July 4, 2022",facebook,"Video shows the aftermath of a mass shooting in Harrisburg, Pennsylvania.",Facebook posts,false
"July 5, 2022",tweet,"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",Marjorie Taylor Greene,false
"June 24, 2022",instagram,“Plan B can cause an abortion. It’s right there on the box.”,Instagram posts,false
"May 7, 2022",instagram,A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.,Instagram posts,mostly-true
"May 25, 2022",tweet,Recent research suggests that 15% of abortions are the result of coercion.,Tweets,barely-true
"June 17, 2022",tweet,“American oil is … more affordable” than foreign oil.,Kevin McCarthy,false
"June 20, 2022",instagram,"According to International Olympic Committee data, “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.""",Instagram posts,false
"June 8, 2022",tweet,"“U.S. House of Reps. votes 226-194 to criminalize disassembling, cleaning, and re-assembling your gun without a firearm manufacturer’s license, including 8 Republicans!”",Gun Owners of America,false
"June 6, 2022",tweet,Photo shows U.S. Rep. Lauren Boebert with two scantily dressed men.,Tweets,false
"June 7, 2022",facebook,95-item list of food-destroying incidents demonstrates that “you are duped if you think they aren’t planning a food shortage.”,Facebook posts,false
"June 12, 2022",story,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",Bloggers,false
"May 24, 2022",tweet,The official pride flag was altered to include Ukrainian colors.,Tweets,false
"June 8, 2022",press conference,"The Jan. 6, 2021, attack on the U.S. Capitol “was a dust-up.”",Jack Del Rio,false
"June 2, 2022",speech,Gun manufacturers are “the only industry in the country” that have immunity from lawsuits.,Joe Biden,false
"June 3, 2022",facebook,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,Facebook posts,pants-fire
"June 2, 2022",tweet,Biden gave Americans “the cheapest gas prices on Earth.”,Tweets,false
