reviewer_name,review date,review text,review_polarity
Keith Garlington,"Aug 24, 2022",Christopher Nolan has once again done what he does best – create an exhilarating cinematic experience aimed at wowing you visually and challenging you intellectually.,fresh
Jeffrey Harris,"Aug 22, 2022",A game cast and topnotch production values are unable to improve upon a clunky script and awkward execution. Tenet fails to reach its lofty ambitions. It also suffers from one of the worst sound mixes in a modern film at this level.,rotten
Cris Kennedy,"Aug 17, 2022",The production team create some fantastically enjoyable big moments of cerebral high-octane fun that made the film's two-and-a-half hour run-time fly by.,fresh
Daniel Howat,"May 20, 2022","Tenet is an intense blockbuster that doesn’t let up, and we’re swept along with the momentum of it all. Don’t try to understand it, just feel it.",fresh
James Luxford,"Feb 26, 2022","A story people will try to explain to others, probably badly, who will in turn head to the multiplex to form their own opinion. If the mission was to create a discussion, then Tenet is a huge success.",fresh
Brian Eggert,"Feb 17, 2022","Tenet suffers most from its absence of feeling and thinly described characters, leaving Nolan's cinematic puzzle box a contraption with nothing inside for those who attempt to solve it.",rotten
Alonso Díaz de la Vega,"Dec 9, 2021","Nolan finally seems to admit that he is not interested in people or their stories or their emotions, but rather using their forms, their bodies, to fill them with abstractions. [Full review in Spanish]",rotten
William Venegas,"Dec 8, 2021",The film begins to entangle itself. [Full review in Spanish],rotten
Witney Seibold,"Sep 13, 2021","For all its ambition, 'Tenet' is a mushy glob of nonsense.",rotten
Cory Woodroof,"Sep 8, 2021","Tenet is one of Nolan's most cerebral films, as confounding as it is scintillating.",fresh
Nicholas Oon,"Sep 5, 2021","It's interesting to consider that Nolan and the entire team believed in creating a challenging narrative with the escapism, wonder, and thrill of the best cinematic experience.",fresh
Lonita Cook,"Aug 31, 2021","Heaps of plot devices, Washington's ridiculously cool fight scenes and Pattinson looking in a suit like a hunk that just won't quit only mildly distracts from the over-complicated and nonsensical world of Tenet.",rotten
Taylor Baker,"Aug 19, 2021","Nolan revisits all the pieces of formulaic ingenuity that have risen him to the pinnacle of non-franchise blockbuster cinema, and it's fun.",fresh
Maria Lattila,"Aug 10, 2021","This is a narrative purely driven by the action and concept, but it lacks a human connection. There is nothing to grasp, nothing to identify with on-screen, no matter how charismatic the actors are.",rotten
Alex Behan,"Jul 26, 2021",[A] stylish espionage thriller.,fresh
Robin Holabird,"Jul 19, 2021","Never slowing down to explain much or allow a passive moment, Tenet almost requires a second or third viewing, all part of the Nolan pattern that creates moneymaking blockbusters.",fresh
Isaac Feldberg,"Jun 10, 2021","Nolan prioritizes the dense audiovisual spectacle of his most narratively complex films. Beyond the intellectual, they exist primarily, and more accessibly, as experiences. Put another way: Tenet is a vibe.",fresh
Lawrence Garcia,"Jun 5, 2021","Tenet fails to convince as either dramatic or action spectacle, let alone as philosophical investigation ... [it's] a house of cards, built only to be toppled over.",rotten
Andrew Kendall,"May 10, 2021","Even as Tenet engages in loads of hand-wringing about the implications the characters' actions have for the future, it's hard to really form any worry for that future that exists only in prolepsis.",rotten
Nick Levine,"May 5, 2021","Though it's sometimes hamstrung by clumsy dialogue - a necessary evil, perhaps, given how much Nolan needs to explain - Tenet is rarely less than thrilling to watch.",fresh
Rhys Bowen Jones,"Apr 17, 2021",Tenet is one of the most enthralling cinematic experiences I have had for years.,fresh
Jeffrey Overstreet,"Apr 4, 2021","Exhausted and disoriented by Nolan's curlicue-rollercoasters, we end up fooled into thinking we've been stirred when, in fact, we've mostly been shaken.",rotten
Niall Browne,"Apr 2, 2021","Christopher Nolan's Tenet is a film which can be enjoyed, but it's highly likely that you won't really understand it. It takes a lot of big ideas - and a lot of big moviemaking techniques to deliver a film which is mesmerising but very flawed.",fresh
David Walsh,"Mar 24, 2021","It is not so much a matter of criticizing Nolan's filmmaking, which is not very difficult to do. The important issue is to understand and criticize the conditions that produced his filmmaking ...",rotten
Vincent Schilling,"Mar 19, 2021","Led beautifully by protagonist John David Washington, 'Tenet', an exceptional action-packed film, dives into a concept of twisting time in a way never explored before. I'm adding this to my permanent library.",fresh
Tim Robey,"Mar 13, 2021","As a delivery system for the thrills, I think the film gets a long way, and you can kind of sit back and enjoy it. As a delivery system for the ideas, I think it trips itself up an awful lot.",rotten
Pablo O. Scholz,"Mar 4, 2021",[Has] perfectly orchestrated battle scenes. [Full review in Spanish],fresh
Rob Gonsalves,"Feb 25, 2021","It means what you want it to mean, and I don't want it to mean anything. It's just a ride.",fresh
Mark Meszoros,"Feb 21, 2021","By the end of its two-and-a-half-hours, with all its bi-directional action, revelations and world-ending ramifications, it's a bit numbing, And you're pretty sure you can't wait to watch it again.",fresh
Eddie Harrison,"Feb 17, 2021","...a high-faluting, high energy, uber-glam espionage thriller...",fresh
Tony Black,"Feb 14, 2021","Just go with it. Allow the inversion to pull you along because it does, for the most part, make sense by the end.",fresh
Alix Turner,"Feb 13, 2021","Huge scale, gripping and ambitious sci-fi spy thriller from Christopher Nolan, which simply has to be seen to be believed, and possibly seen more than once to be fully appreciated.",fresh
Brian Gill,"Feb 10, 2021",It's the most Nolan movie ever and I'm not sure it makes since but I was enthralled nonetheless.,fresh
Kathia Woods,"Feb 10, 2021",The future is now or in the past,fresh
Alex Bentley,"Feb 5, 2021",Nolan's obsession with making his films as complex as humanly possible is frustrating for those of us who would like at least a scintilla of clarity in our storytelling.,rotten
MaryAnn Johanson,"Feb 5, 2021","Washington and Pattinson have palpable charisma, but this cold puzzle offers no incentive to solve it. Throw in damsel-in-distress crap, and both my geek sensibilities and my feminism are offended.",rotten
