"breakfast,food,restaurant,good,service,staff,bar,room,coffee,buffet,eggs,cold,hot,poor,fresh",This shows that hotel has best restaurant and services.
"staff,room,location,breakfast,good,friendly,helpful,great,clean,comfortable,excellent,nice,bed,rooms,hotel",The hotel has clean rooms and friendly staff.
"location,station,close,walk,tube,hotel,great,london,restaurants,walking,good,room,street,distance,near",The hotel is situated near to London city.
"room,bed,small,double,booked,two,one,hotel,rooms,beds,location,price,booking,breakfast,single","The hotel has variety of rooms such as small, double, two, one beds with different price range."
"bar,pool,hotel,great,parking,room,nice,free,breakfast,location,good,area,view,wifi,spa","The hotel has all necessary facility such as pool, wifi, spa, parking, bar, etc."
"room,coffee,tea,water,free,bed,nice,machine,facilities,shower,bar,comfortable,would,bathroom,good",The hotel rooms provides free facilities such as coffee-tea maker machine and good bathroom shower.
"room,hotel,staff,check,reception,one,time,day,told,booking,asked,get,would,service,even",The hotel has good reception for bookings.
"room,shower,bathroom,bed,air,hot,water,location,small,good,work,toilet,floor,conditioning,bath",The hotel room has best hygienic bathroom and toilet with good facility.
"hotel,station,city,close,location,metro,good,walk,nice,breakfast,centre,center,clean,easy,train","The hotel is at proximate location for day to day life such as metro, train and also its close to city. "
"hotel,rooms,location,like,good,old,room,star,hotels,small,price,nice,breakfast,bit,staff",The hotel has variety of rooms in affordable price with good services.
"room,noise,night,noisy,floor,location,door,next,rooms,could,hear,hotel,outside,morning,sleep",The hotel surroundings are nosiy in both day and night time.
"staff,hotel,stay,would,helpful,nothing,great,friendly,everything,amazing,lovely,room,definitely,perfect,really",The hotel staffs are really helpful and friendly in nature with providing amazing services.
